layer,filter,image,mean_activation
vgg/conv1_1/conv1_1,11,val_9746.JPEG,41.8748168945
vgg/conv1_1/conv1_1,11,val_2655.JPEG,52.6254882812
vgg/conv1_1/conv1_1,11,val_1376.JPEG,57.9900741577
vgg/conv1_1/conv1_1,11,val_6309.JPEG,63.8842163086
vgg/conv1_1/conv1_1,12,val_1901.JPEG,0.0
vgg/conv1_1/conv1_1,12,val_6561.JPEG,0.0
vgg/conv1_1/conv1_1,12,val_5957.JPEG,0.0
vgg/conv1_1/conv1_1,12,val_4876.JPEG,0.0
vgg/conv1_1/conv1_1,12,val_6711.JPEG,0.0
vgg/conv1_1/conv1_1,13,val_3730.JPEG,0.0369083583355
vgg/conv1_1/conv1_1,13,val_8861.JPEG,0.608322501183
vgg/conv1_1/conv1_1,13,val_1650.JPEG,1.27933704853
vgg/conv1_1/conv1_1,13,val_6142.JPEG,2.89949464798
vgg/conv1_1/conv1_1,13,val_1719.JPEG,3.66707992554
vgg/conv1_1/conv1_1,14,val_4260.JPEG,20.5832672119
vgg/conv1_1/conv1_1,14,val_1376.JPEG,28.1035442352
vgg/conv1_1/conv1_1,14,val_9622.JPEG,35.2818069458
vgg/conv1_1/conv1_1,14,val_5000.JPEG,37.5019989014
vgg/conv1_1/conv1_1,14,val_6611.JPEG,47.3714179993
vgg/conv1_1/conv1_1,15,val_8918.JPEG,0.0
vgg/conv1_1/conv1_1,15,val_3996.JPEG,0.0
vgg/conv1_1/conv1_1,15,val_9776.JPEG,0.0
vgg/conv1_1/conv1_1,15,val_7058.JPEG,0.0
vgg/conv1_1/conv1_1,15,val_2934.JPEG,0.0
vgg/conv1_1/conv1_1,16,val_6401.JPEG,0.0
vgg/conv1_1/conv1_1,16,val_8563.JPEG,0.0
vgg/conv1_1/conv1_1,16,val_5954.JPEG,0.0
vgg/conv1_1/conv1_1,16,val_5115.JPEG,0.0
vgg/conv1_1/conv1_1,16,val_8442.JPEG,0.0
vgg/conv1_1/conv1_1,17,val_1376.JPEG,62.6816062927
vgg/conv1_1/conv1_1,17,val_9746.JPEG,73.5441589355
vgg/conv1_1/conv1_1,17,val_2655.JPEG,94.6342697144
vgg/conv1_1/conv1_1,17,val_9782.JPEG,95.4023208618
vgg/conv1_1/conv1_1,17,val_3627.JPEG,110.742538452
vgg/conv1_1/conv1_1,18,val_4426.JPEG,0.0
vgg/conv1_1/conv1_1,18,val_7025.JPEG,0.0
vgg/conv1_1/conv1_1,18,val_9776.JPEG,0.0
vgg/conv1_1/conv1_1,18,val_971.JPEG,0.0
vgg/conv1_1/conv1_1,18,val_9573.JPEG,0.0
vgg/conv1_1/conv1_1,19,val_925.JPEG,0.0
vgg/conv1_1/conv1_1,19,val_8467.JPEG,0.0
vgg/conv1_1/conv1_1,19,val_5621.JPEG,0.0
vgg/conv1_1/conv1_1,19,val_4659.JPEG,0.0
vgg/conv1_1/conv1_1,19,val_9776.JPEG,0.0
vgg/conv1_1/conv1_1,20,val_9746.JPEG,29.4439258575
vgg/conv1_1/conv1_1,20,val_7858.JPEG,38.7080993652
vgg/conv1_1/conv1_1,20,val_6788.JPEG,45.8812026978
vgg/conv1_1/conv1_1,20,val_8061.JPEG,46.2123451233
vgg/conv1_1/conv1_1,20,val_528.JPEG,48.1069030762
vgg/conv1_1/conv1_1,21,val_4260.JPEG,200.121078491
vgg/conv1_1/conv1_1,21,val_5000.JPEG,230.180908203
vgg/conv1_1/conv1_1,21,val_1694.JPEG,264.917449951
vgg/conv1_1/conv1_1,21,val_191.JPEG,273.291992188
vgg/conv1_1/conv1_1,21,val_5337.JPEG,273.879821777
vgg/conv1_1/conv1_1,22,val_7148.JPEG,0.0
vgg/conv1_1/conv1_1,22,val_2406.JPEG,0.0
vgg/conv1_1/conv1_1,22,val_1353.JPEG,0.0
vgg/conv1_1/conv1_1,22,val_752.JPEG,0.0
vgg/conv1_1/conv1_1,22,val_5150.JPEG,0.0
vgg/conv1_1/conv1_1,23,val_5578.JPEG,50.8259506226
vgg/conv1_1/conv1_1,23,val_488.JPEG,61.0982055664
vgg/conv1_1/conv1_1,23,val_1069.JPEG,92.9583969116
vgg/conv1_1/conv1_1,23,val_5000.JPEG,97.764755249
vgg/conv1_1/conv1_1,23,val_5841.JPEG,111.028823853
vgg/conv1_1/conv1_1,24,val_3730.JPEG,0.00206177681684
vgg/conv1_1/conv1_1,24,val_7858.JPEG,0.469761282206
vgg/conv1_1/conv1_1,24,val_6142.JPEG,1.17342281342
vgg/conv1_1/conv1_1,24,val_4561.JPEG,1.72333335876
vgg/conv1_1/conv1_1,24,val_3488.JPEG,2.17791247368
vgg/conv1_1/conv1_1,25,val_7165.JPEG,0.0
vgg/conv1_1/conv1_1,25,val_3283.JPEG,0.0
vgg/conv1_1/conv1_1,25,val_7482.JPEG,0.0
vgg/conv1_1/conv1_1,25,val_265.JPEG,0.0
vgg/conv1_1/conv1_1,25,val_4497.JPEG,0.0
vgg/conv1_1/conv1_1,26,val_4260.JPEG,369.80645752
vgg/conv1_1/conv1_1,26,val_682.JPEG,437.469665527
vgg/conv1_1/conv1_1,26,val_6611.JPEG,453.377349854
vgg/conv1_1/conv1_1,26,val_9885.JPEG,466.175109863
vgg/conv1_1/conv1_1,26,val_607.JPEG,480.060455322
vgg/conv1_1/conv1_1,27,val_5781.JPEG,0.0
vgg/conv1_1/conv1_1,27,val_992.JPEG,0.0
vgg/conv1_1/conv1_1,27,val_984.JPEG,0.0
vgg/conv1_1/conv1_1,27,val_607.JPEG,0.0
vgg/conv1_1/conv1_1,27,val_5281.JPEG,0.0
vgg/conv1_1/conv1_1,28,val_4260.JPEG,21.0431308746
vgg/conv1_1/conv1_1,28,val_1376.JPEG,27.7907562256
vgg/conv1_1/conv1_1,28,val_5000.JPEG,50.0200004578
vgg/conv1_1/conv1_1,28,val_2277.JPEG,63.5977935791
vgg/conv1_1/conv1_1,28,val_191.JPEG,63.6465034485
vgg/conv1_1/conv1_1,29,val_9390.JPEG,0.0
vgg/conv1_1/conv1_1,29,val_7720.JPEG,0.0
vgg/conv1_1/conv1_1,29,val_2934.JPEG,0.0
vgg/conv1_1/conv1_1,29,val_992.JPEG,0.0
vgg/conv1_1/conv1_1,29,val_1774.JPEG,0.0
vgg/conv1_1/conv1_1,30,val_2655.JPEG,109.698013306
vgg/conv1_1/conv1_1,30,val_9746.JPEG,171.271606445
vgg/conv1_1/conv1_1,30,val_9079.JPEG,209.028930664
vgg/conv1_1/conv1_1,30,val_3730.JPEG,253.768005371
vgg/conv1_1/conv1_1,30,val_3851.JPEG,271.161834717
vgg/conv1_1/conv1_1,31,val_6383.JPEG,5534.50830078
vgg/conv1_1/conv1_1,31,val_6611.JPEG,7931.02148438
vgg/conv1_1/conv1_1,31,val_8147.JPEG,8291.75195312
vgg/conv1_1/conv1_1,31,val_1436.JPEG,9112.79003906
vgg/conv1_1/conv1_1,31,val_7120.JPEG,9920.6484375
vgg/conv1_1/conv1_1,32,val_1539.JPEG,0.0
vgg/conv1_1/conv1_1,32,val_327.JPEG,0.0
vgg/conv1_1/conv1_1,32,val_6554.JPEG,0.0
vgg/conv1_1/conv1_1,32,val_3945.JPEG,0.0
vgg/conv1_1/conv1_1,32,val_925.JPEG,0.0
vgg/conv1_1/conv1_1,33,val_5000.JPEG,48.4989089966
vgg/conv1_1/conv1_1,33,val_1069.JPEG,59.432849884
vgg/conv1_1/conv1_1,33,val_488.JPEG,118.02520752
vgg/conv1_1/conv1_1,33,val_7127.JPEG,136.052581787
vgg/conv1_1/conv1_1,33,val_6401.JPEG,161.907608032
vgg/conv1_1/conv1_1,34,val_6611.JPEG,359.178710938
vgg/conv1_1/conv1_1,34,val_8147.JPEG,414.008605957
vgg/conv1_1/conv1_1,34,val_4260.JPEG,550.282104492
vgg/conv1_1/conv1_1,34,val_1376.JPEG,693.66192627
vgg/conv1_1/conv1_1,34,val_7670.JPEG,705.747619629
vgg/conv1_1/conv1_1,35,val_1376.JPEG,503.613891602
vgg/conv1_1/conv1_1,35,val_4260.JPEG,539.798706055
vgg/conv1_1/conv1_1,35,val_8147.JPEG,551.243530273
vgg/conv1_1/conv1_1,35,val_5957.JPEG,624.750671387
vgg/conv1_1/conv1_1,35,val_6611.JPEG,712.869995117
vgg/conv1_1/conv1_1,36,val_7148.JPEG,0.0
vgg/conv1_1/conv1_1,36,val_1539.JPEG,0.0
vgg/conv1_1/conv1_1,36,val_3477.JPEG,0.0
vgg/conv1_1/conv1_1,36,val_3945.JPEG,0.0
vgg/conv1_1/conv1_1,36,val_925.JPEG,0.0
vgg/conv1_1/conv1_1,37,val_6822.JPEG,600.312011719
vgg/conv1_1/conv1_1,37,val_6611.JPEG,602.549865723
vgg/conv1_1/conv1_1,37,val_5000.JPEG,629.647888184
vgg/conv1_1/conv1_1,37,val_4260.JPEG,688.006408691
vgg/conv1_1/conv1_1,37,val_8147.JPEG,728.924072266
vgg/conv1_1/conv1_1,38,val_2655.JPEG,16.4263420105
vgg/conv1_1/conv1_1,38,val_9746.JPEG,25.4495620728
vgg/conv1_1/conv1_1,38,val_9079.JPEG,38.8103218079
vgg/conv1_1/conv1_1,38,val_8061.JPEG,38.9813919067
vgg/conv1_1/conv1_1,38,val_528.JPEG,39.5173034668
vgg/conv1_1/conv1_1,39,val_7148.JPEG,0.0
vgg/conv1_1/conv1_1,39,val_1539.JPEG,0.0
vgg/conv1_1/conv1_1,39,val_3477.JPEG,0.0
vgg/conv1_1/conv1_1,39,val_327.JPEG,0.0
vgg/conv1_1/conv1_1,39,val_6554.JPEG,0.0
vgg/conv1_1/conv1_1,40,val_5957.JPEG,0.185354024172
vgg/conv1_1/conv1_1,40,val_9782.JPEG,0.98377007246
vgg/conv1_1/conv1_1,40,val_6142.JPEG,3.12813591957
vgg/conv1_1/conv1_1,40,val_6561.JPEG,3.79077386856
vgg/conv1_1/conv1_1,40,val_208.JPEG,4.1177315712
vgg/conv1_1/conv1_1,41,val_5841.JPEG,54.7015914917
vgg/conv1_1/conv1_1,41,val_4465.JPEG,58.7351112366
vgg/conv1_1/conv1_1,41,val_78.JPEG,79.5450286865
vgg/conv1_1/conv1_1,41,val_101.JPEG,110.517326355
vgg/conv1_1/conv1_1,41,val_5000.JPEG,111.358306885
vgg/conv1_1/conv1_1,42,val_8147.JPEG,344.109008789
vgg/conv1_1/conv1_1,42,val_9376.JPEG,450.978485107
vgg/conv1_1/conv1_1,42,val_7829.JPEG,462.639984131
vgg/conv1_1/conv1_1,42,val_6611.JPEG,472.895935059
vgg/conv1_1/conv1_1,42,val_4260.JPEG,488.635437012
vgg/conv1_1/conv1_1,43,val_4260.JPEG,41.1536750793
vgg/conv1_1/conv1_1,43,val_1376.JPEG,42.8705406189
vgg/conv1_1/conv1_1,43,val_3627.JPEG,43.0121688843
vgg/conv1_1/conv1_1,43,val_6549.JPEG,51.7263183594
vgg/conv1_1/conv1_1,43,val_2950.JPEG,54.7797088623
vgg/conv1_1/conv1_1,44,val_6142.JPEG,25.9337368011
vgg/conv1_1/conv1_1,44,val_9746.JPEG,30.7924385071
vgg/conv1_1/conv1_1,44,val_2655.JPEG,34.2600021362
vgg/conv1_1/conv1_1,44,val_9079.JPEG,44.0885124207
vgg/conv1_1/conv1_1,44,val_3730.JPEG,48.4484939575
vgg/conv1_1/conv1_1,45,val_8147.JPEG,595.057861328
vgg/conv1_1/conv1_1,45,val_4260.JPEG,665.271972656
vgg/conv1_1/conv1_1,45,val_607.JPEG,758.095214844
vgg/conv1_1/conv1_1,45,val_9376.JPEG,801.484375
vgg/conv1_1/conv1_1,45,val_5000.JPEG,809.485900879
vgg/conv1_1/conv1_1,46,val_6822.JPEG,6.14524507523
vgg/conv1_1/conv1_1,46,val_208.JPEG,8.34899425507
vgg/conv1_1/conv1_1,46,val_5281.JPEG,24.1617107391
vgg/conv1_1/conv1_1,46,val_1694.JPEG,41.4091033936
vgg/conv1_1/conv1_1,46,val_1376.JPEG,44.8826065063
vgg/conv1_1/conv1_1,47,val_6611.JPEG,599.914001465
vgg/conv1_1/conv1_1,47,val_8147.JPEG,603.154663086
vgg/conv1_1/conv1_1,47,val_4260.JPEG,711.570739746
vgg/conv1_1/conv1_1,47,val_682.JPEG,756.420898438
vgg/conv1_1/conv1_1,47,val_1376.JPEG,780.752929688
vgg/conv1_1/conv1_1,48,val_1376.JPEG,55.5541381836
vgg/conv1_1/conv1_1,48,val_1694.JPEG,65.3057403564
vgg/conv1_1/conv1_1,48,val_5281.JPEG,77.0769958496
vgg/conv1_1/conv1_1,48,val_4260.JPEG,80.2531509399
vgg/conv1_1/conv1_1,48,val_6822.JPEG,105.72328186
vgg/conv1_1/conv1_1,49,val_3730.JPEG,23.3860607147
vgg/conv1_1/conv1_1,49,val_9746.JPEG,27.5434112549
vgg/conv1_1/conv1_1,49,val_2655.JPEG,36.8863220215
vgg/conv1_1/conv1_1,49,val_8566.JPEG,42.1646118164
vgg/conv1_1/conv1_1,49,val_8415.JPEG,50.4029350281
vgg/conv1_1/conv1_1,50,val_5150.JPEG,0.0
vgg/conv1_1/conv1_1,50,val_7025.JPEG,0.0
vgg/conv1_1/conv1_1,50,val_6344.JPEG,0.0
vgg/conv1_1/conv1_1,50,val_1058.JPEG,0.0
vgg/conv1_1/conv1_1,50,val_9573.JPEG,0.0
vgg/conv1_1/conv1_1,51,val_2534.JPEG,540.381164551
vgg/conv1_1/conv1_1,51,val_5841.JPEG,560.711547852
vgg/conv1_1/conv1_1,51,val_8147.JPEG,593.228149414
vgg/conv1_1/conv1_1,51,val_488.JPEG,609.660888672
vgg/conv1_1/conv1_1,51,val_7127.JPEG,617.560668945
vgg/conv1_1/conv1_1,52,val_1774.JPEG,0.0
vgg/conv1_1/conv1_1,52,val_607.JPEG,0.0
vgg/conv1_1/conv1_1,52,val_6401.JPEG,0.0
vgg/conv1_1/conv1_1,52,val_8563.JPEG,0.0
vgg/conv1_1/conv1_1,52,val_8605.JPEG,0.0
vgg/conv1_1/conv1_1,53,val_6822.JPEG,33.5990219116
vgg/conv1_1/conv1_1,53,val_1376.JPEG,34.1968727112
vgg/conv1_1/conv1_1,53,val_208.JPEG,34.6522674561
vgg/conv1_1/conv1_1,53,val_4260.JPEG,64.8272323608
vgg/conv1_1/conv1_1,53,val_5281.JPEG,70.8150634766
vgg/conv1_1/conv1_1,54,val_5578.JPEG,82.1613998413
vgg/conv1_1/conv1_1,54,val_488.JPEG,85.8514404297
vgg/conv1_1/conv1_1,54,val_6788.JPEG,122.988319397
vgg/conv1_1/conv1_1,54,val_7127.JPEG,127.391708374
vgg/conv1_1/conv1_1,54,val_5841.JPEG,136.110336304
vgg/conv1_1/conv1_1,55,val_3730.JPEG,0.124104760587
vgg/conv1_1/conv1_1,55,val_6142.JPEG,3.73254346848
vgg/conv1_1/conv1_1,55,val_4278.JPEG,4.93974304199
vgg/conv1_1/conv1_1,55,val_8861.JPEG,6.9152097702
vgg/conv1_1/conv1_1,55,val_3370.JPEG,9.45522880554
vgg/conv1_1/conv1_1,56,val_5000.JPEG,18.9883556366
vgg/conv1_1/conv1_1,56,val_1069.JPEG,22.7960166931
vgg/conv1_1/conv1_1,56,val_4588.JPEG,30.5528068542
vgg/conv1_1/conv1_1,56,val_9181.JPEG,39.614112854
vgg/conv1_1/conv1_1,56,val_5841.JPEG,39.7290382385
vgg/conv1_1/conv1_1,57,val_488.JPEG,19.5299339294
vgg/conv1_1/conv1_1,57,val_101.JPEG,32.1860542297
vgg/conv1_1/conv1_1,57,val_6053.JPEG,33.6380882263
vgg/conv1_1/conv1_1,57,val_3770.JPEG,42.3614425659
vgg/conv1_1/conv1_1,57,val_5578.JPEG,44.5700454712
vgg/conv1_1/conv1_1,58,val_8147.JPEG,605.261047363
vgg/conv1_1/conv1_1,58,val_4588.JPEG,657.674194336
vgg/conv1_1/conv1_1,58,val_1376.JPEG,659.756164551
vgg/conv1_1/conv1_1,58,val_5000.JPEG,660.398620605
vgg/conv1_1/conv1_1,58,val_4260.JPEG,688.208862305
vgg/conv1_1/conv1_1,59,val_984.JPEG,0.0
vgg/conv1_1/conv1_1,59,val_6401.JPEG,0.0
vgg/conv1_1/conv1_1,59,val_9386.JPEG,0.0
vgg/conv1_1/conv1_1,59,val_9885.JPEG,0.0
vgg/conv1_1/conv1_1,59,val_5115.JPEG,0.0
vgg/conv1_1/conv1_1,60,val_1376.JPEG,399.845916748
vgg/conv1_1/conv1_1,60,val_4260.JPEG,457.884552002
vgg/conv1_1/conv1_1,60,val_5957.JPEG,503.739715576
vgg/conv1_1/conv1_1,60,val_8147.JPEG,527.266723633
vgg/conv1_1/conv1_1,60,val_3851.JPEG,590.863098145
vgg/conv1_1/conv1_1,61,val_7148.JPEG,0.0
vgg/conv1_1/conv1_1,61,val_6779.JPEG,0.0
vgg/conv1_1/conv1_1,61,val_1539.JPEG,0.0
vgg/conv1_1/conv1_1,61,val_5600.JPEG,0.0
vgg/conv1_1/conv1_1,61,val_3477.JPEG,0.0
vgg/conv1_1/conv1_1,62,val_8147.JPEG,608.880859375
vgg/conv1_1/conv1_1,62,val_5841.JPEG,716.74432373
vgg/conv1_1/conv1_1,62,val_9376.JPEG,719.857727051
vgg/conv1_1/conv1_1,62,val_6611.JPEG,736.763122559
vgg/conv1_1/conv1_1,62,val_5000.JPEG,737.997802734
vgg/conv1_1/conv1_1,63,val_1376.JPEG,396.305511475
vgg/conv1_1/conv1_1,63,val_5000.JPEG,432.989990234
vgg/conv1_1/conv1_1,63,val_4260.JPEG,447.453552246
vgg/conv1_1/conv1_1,63,val_6822.JPEG,448.739562988
vgg/conv1_1/conv1_1,63,val_8442.JPEG,571.732910156
vgg/conv1_2/conv1_2,0,val_8147.JPEG,3818.81494141
vgg/conv1_2/conv1_2,0,val_6611.JPEG,4134.89453125
vgg/conv1_2/conv1_2,0,val_6383.JPEG,4370.10302734
vgg/conv1_2/conv1_2,0,val_7120.JPEG,5231.45361328
vgg/conv1_2/conv1_2,0,val_9997.JPEG,5848.02587891
vgg/conv1_2/conv1_2,1,val_6383.JPEG,1813.85107422
vgg/conv1_2/conv1_2,1,val_6611.JPEG,2048.55664062
vgg/conv1_2/conv1_2,1,val_8147.JPEG,2315.84741211
vgg/conv1_2/conv1_2,1,val_9997.JPEG,2512.4362793
vgg/conv1_2/conv1_2,1,val_7120.JPEG,2628.98046875
vgg/conv1_2/conv1_2,2,val_4404.JPEG,0.0
vgg/conv1_2/conv1_2,2,val_5503.JPEG,0.0
vgg/conv1_2/conv1_2,2,val_173.JPEG,0.0
vgg/conv1_2/conv1_2,2,val_6371.JPEG,0.0
vgg/conv1_2/conv1_2,2,val_7792.JPEG,0.0
vgg/conv1_2/conv1_2,3,val_5781.JPEG,22.9463787079
vgg/conv1_2/conv1_2,3,val_6561.JPEG,53.1358909607
vgg/conv1_2/conv1_2,3,val_4876.JPEG,68.9952087402
vgg/conv1_2/conv1_2,3,val_6142.JPEG,83.8346252441
vgg/conv1_2/conv1_2,3,val_2655.JPEG,167.584716797
vgg/conv1_2/conv1_2,4,val_6383.JPEG,13734.6757812
vgg/conv1_2/conv1_2,4,val_6611.JPEG,17946.6328125
vgg/conv1_2/conv1_2,4,val_8147.JPEG,20396.3632812
vgg/conv1_2/conv1_2,4,val_1436.JPEG,20410.7773438
vgg/conv1_2/conv1_2,4,val_7120.JPEG,22875.2246094
vgg/conv1_2/conv1_2,5,val_8147.JPEG,3475.80444336
vgg/conv1_2/conv1_2,5,val_9376.JPEG,3530.38891602
vgg/conv1_2/conv1_2,5,val_6611.JPEG,3610.99755859
vgg/conv1_2/conv1_2,5,val_9997.JPEG,4094.96044922
vgg/conv1_2/conv1_2,5,val_3406.JPEG,4113.62402344
vgg/conv1_2/conv1_2,6,val_1376.JPEG,2362.07495117
vgg/conv1_2/conv1_2,6,val_8147.JPEG,2422.15844727
vgg/conv1_2/conv1_2,6,val_4260.JPEG,2444.35205078
vgg/conv1_2/conv1_2,6,val_6611.JPEG,2607.30224609
vgg/conv1_2/conv1_2,6,val_9376.JPEG,2662.87817383
vgg/conv1_2/conv1_2,7,val_833.JPEG,0.0
vgg/conv1_2/conv1_2,7,val_7829.JPEG,0.0
vgg/conv1_2/conv1_2,7,val_853.JPEG,0.0
vgg/conv1_2/conv1_2,7,val_8861.JPEG,0.0
vgg/conv1_2/conv1_2,7,val_4482.JPEG,0.0
vgg/conv1_2/conv1_2,8,val_3851.JPEG,33.1028251648
vgg/conv1_2/conv1_2,8,val_2655.JPEG,34.3281173706
vgg/conv1_2/conv1_2,8,val_9782.JPEG,38.7651939392
vgg/conv1_2/conv1_2,8,val_1053.JPEG,59.6184692383
vgg/conv1_2/conv1_2,8,val_6822.JPEG,63.5647087097
vgg/conv1_2/conv1_2,9,val_6611.JPEG,1285.2166748
vgg/conv1_2/conv1_2,9,val_8147.JPEG,1524.52307129
vgg/conv1_2/conv1_2,9,val_9997.JPEG,2793.890625
vgg/conv1_2/conv1_2,9,val_1436.JPEG,2918.9050293
vgg/conv1_2/conv1_2,9,val_6383.JPEG,2999.54589844
vgg/conv1_2/conv1_2,10,val_6611.JPEG,3541.89355469
vgg/conv1_2/conv1_2,10,val_8147.JPEG,3542.16088867
vgg/conv1_2/conv1_2,10,val_6383.JPEG,4714.64160156
vgg/conv1_2/conv1_2,10,val_7120.JPEG,5059.11865234
vgg/conv1_2/conv1_2,10,val_9997.JPEG,5188.94580078
vgg/conv1_2/conv1_2,11,val_1694.JPEG,60.0748786926
vgg/conv1_2/conv1_2,11,val_8309.JPEG,119.350708008
vgg/conv1_2/conv1_2,11,val_6401.JPEG,140.609802246
vgg/conv1_2/conv1_2,11,val_7424.JPEG,164.833221436
vgg/conv1_2/conv1_2,11,val_1069.JPEG,185.397094727
vgg/conv1_2/conv1_2,12,val_6383.JPEG,3377.19946289
vgg/conv1_2/conv1_2,12,val_8147.JPEG,3696.06152344
vgg/conv1_2/conv1_2,12,val_4588.JPEG,4232.91503906
vgg/conv1_2/conv1_2,12,val_6611.JPEG,4376.28955078
vgg/conv1_2/conv1_2,12,val_9997.JPEG,4643.01416016
vgg/conv1_2/conv1_2,13,val_8147.JPEG,4943.16308594
vgg/conv1_2/conv1_2,13,val_6611.JPEG,5557.79785156
vgg/conv1_2/conv1_2,13,val_9376.JPEG,5655.72558594
vgg/conv1_2/conv1_2,13,val_6383.JPEG,5964.46679688
vgg/conv1_2/conv1_2,13,val_4588.JPEG,6314.82958984
vgg/conv1_2/conv1_2,14,val_6822.JPEG,0.0
vgg/conv1_2/conv1_2,14,val_6401.JPEG,0.0
vgg/conv1_2/conv1_2,14,val_346.JPEG,0.0
vgg/conv1_2/conv1_2,14,val_91.JPEG,0.0
vgg/conv1_2/conv1_2,14,val_9386.JPEG,0.0
vgg/conv1_2/conv1_2,15,val_5781.JPEG,11.9194545746
vgg/conv1_2/conv1_2,15,val_6142.JPEG,48.7690391541
vgg/conv1_2/conv1_2,15,val_4876.JPEG,132.48828125
vgg/conv1_2/conv1_2,15,val_7712.JPEG,150.524963379
vgg/conv1_2/conv1_2,15,val_2655.JPEG,151.904647827
vgg/conv1_2/conv1_2,16,val_5957.JPEG,3.11031126976
vgg/conv1_2/conv1_2,16,val_6822.JPEG,5.42710733414
vgg/conv1_2/conv1_2,16,val_91.JPEG,5.59528970718
vgg/conv1_2/conv1_2,16,val_3627.JPEG,8.24484825134
vgg/conv1_2/conv1_2,16,val_2655.JPEG,9.73574733734
vgg/conv1_2/conv1_2,17,val_6611.JPEG,2707.12866211
vgg/conv1_2/conv1_2,17,val_8147.JPEG,3440.79614258
vgg/conv1_2/conv1_2,17,val_7670.JPEG,5163.68115234
vgg/conv1_2/conv1_2,17,val_9997.JPEG,5185.18701172
vgg/conv1_2/conv1_2,17,val_4260.JPEG,5855.40234375
vgg/conv1_2/conv1_2,18,val_9109.JPEG,0.0
vgg/conv1_2/conv1_2,18,val_3498.JPEG,0.0
vgg/conv1_2/conv1_2,18,val_6401.JPEG,0.0
